onset	duration	sample	value	event_code	feedback
0	n/a	0	break cnt	break cnt	n/a
68.33	n/a	34165	contrastChangeB1_start	94	n/a
74.314	n/a	37157	contrastTrial_start	5	n/a
77.112	n/a	38556	right_target	9	n/a
79.512	n/a	39756	contrastTrial_start	5	n/a
82.312	n/a	41156	right_target	9	n/a
84.712	n/a	42356	contrastTrial_start	5	n/a
87.592	n/a	43796	right_buttonPress	13	non_target
89.11	n/a	44555	right_target	9	n/a
91.512	n/a	45756	contrastTrial_start	5	n/a
97.51	n/a	48755	right_target	9	n/a
99.912	n/a	49956	contrastTrial_start	5	n/a
102.71	n/a	51355	left_target	8	n/a
105.112	n/a	52556	contrastTrial_start	5	n/a
107.91	n/a	53955	right_target	9	n/a
110.31	n/a	55155	contrastTrial_start	5	n/a
117.99	n/a	58995	right_target	9	n/a
120.39	n/a	60195	contrastTrial_start	5	n/a
128.06	n/a	64030	left_target	8	n/a
130.46	n/a	65230	contrastTrial_start	5	n/a
138.13	n/a	69065	left_target	8	n/a
140.53	n/a	70265	contrastTrial_start	5	n/a
145.76	n/a	72880	left_buttonPress	12	non_target
145.84	n/a	72920	left_buttonPress	12	non_target
148.2	n/a	74100	right_target	9	n/a
150.6	n/a	75300	contrastTrial_start	5	n/a
156.6	n/a	78300	left_target	8	n/a
157.45	n/a	78725	right_buttonPress	13	sad_face
159	n/a	79500	contrastTrial_start	5	n/a
161.8	n/a	80900	left_target	8	n/a
164.2	n/a	82100	contrastTrial_start	5	n/a
165.32	n/a	82660	left_buttonPress	12	non_target
170.02	n/a	85010	left_buttonPress	12	non_target
170.2	n/a	85100	left_target	8	n/a
171.02	n/a	85510	left_buttonPress	12	smiley_face
172.6	n/a	86300	contrastTrial_start	5	n/a
177	n/a	88500	left_target	8	n/a
177.38	n/a	88690	right_buttonPress	13	sad_face
178.8	n/a	89400	right_buttonPress	13	non_target
179.4	n/a	89700	contrastTrial_start	5	n/a
182.2	n/a	91100	left_target	8	n/a
182.69	n/a	91345	left_buttonPress	12	smiley_face
184.6	n/a	92300	contrastTrial_start	5	n/a
190.6	n/a	95300	left_target	8	n/a
193	n/a	96500	contrastTrial_start	5	n/a
197.4	n/a	98700	right_target	9	n/a
199.73	n/a	99865	left_buttonPress	12	sad_face
199.8	n/a	99900	contrastTrial_start	5	n/a
205.798	n/a	102899	right_target	9	n/a
206.618	n/a	103309	left_buttonPress	12	sad_face
208.198	n/a	104099	contrastTrial_start	5	n/a
214.198	n/a	107099	right_target	9	n/a
215.188	n/a	107594	right_buttonPress	13	smiley_face
215.998	n/a	107999	right_buttonPress	13	non_target
216.608	n/a	108304	contrastTrial_start	5	n/a
219.408	n/a	109704	left_target	8	n/a
220.888	n/a	110444	left_buttonPress	12	smiley_face
221.808	n/a	110904	contrastTrial_start	5	n/a
226.038	n/a	113019	right_buttonPress	13	non_target
227.528	n/a	113764	right_buttonPress	13	non_target
227.808	n/a	113904	left_target	8	n/a
229.388	n/a	114694	left_buttonPress	12	smiley_face
230.208	n/a	115104	contrastTrial_start	5	n/a
234.608	n/a	117304	left_target	8	n/a
235.708	n/a	117854	left_buttonPress	12	smiley_face
237.008	n/a	118504	contrastTrial_start	5	n/a
239.808	n/a	119904	right_target	9	n/a
242.208	n/a	121104	contrastTrial_start	5	n/a
245.498	n/a	122749	left_buttonPress	12	non_target
248.208	n/a	124104	right_target	9	n/a
249.358	n/a	124679	left_buttonPress	12	sad_face
250.608	n/a	125304	contrastTrial_start	5	n/a
253.008	n/a	126504	right_buttonPress	13	non_target
256.978	n/a	128489	break cnt	break cnt	n/a
288.486	n/a	144243	9999	9999	n/a
290.33	n/a	145165	video_start	82	n/a
453.324	n/a	226662	video_stop	102	n/a
453.857	n/a	226928.5	boundary	boundary	n/a
