onset	duration	sample	value	event_code	background	foreground_contrast	stimulus_cond
0	n/a	0	break cnt	break cnt	n/a	n/a	n/a
34.434	n/a	17217	surroundSuppB1_start	93	n/a	n/a	n/a
35.98	n/a	17990	fixpoint_ON	4	n/a	n/a	n/a
36.5	2.4	18250	stim_ON	8	1	0	2
39.416	n/a	19708	fixpoint_ON	4	n/a	n/a	n/a
39.926	2.4	19963	stim_ON	8	1	0.3	3
42.836	n/a	21418	fixpoint_ON	4	n/a	n/a	n/a
43.346	2.4	21673	stim_ON	8	1	0.6	1
46.256	n/a	23128	fixpoint_ON	4	n/a	n/a	n/a
46.766	2.4	23383	stim_ON	8	1	1	2
49.676	n/a	24838	fixpoint_ON	4	n/a	n/a	n/a
50.186	2.4	25093	stim_ON	8	1	0	3
53.096	n/a	26548	fixpoint_ON	4	n/a	n/a	n/a
53.606	2.4	26803	stim_ON	8	1	0.3	2
56.516	n/a	28258	fixpoint_ON	4	n/a	n/a	n/a
57.026	2.4	28513	stim_ON	8	1	0.6	1
59.936	n/a	29968	fixpoint_ON	4	n/a	n/a	n/a
60.446	2.4	30223	stim_ON	8	1	1	3
63.356	n/a	31678	fixpoint_ON	4	n/a	n/a	n/a
63.866	2.4	31933	stim_ON	8	1	0	2
66.776	n/a	33388	fixpoint_ON	4	n/a	n/a	n/a
67.286	2.4	33643	stim_ON	8	1	0.3	3
70.196	n/a	35098	fixpoint_ON	4	n/a	n/a	n/a
70.706	2.4	35353	stim_ON	8	1	0.6	1
73.616	n/a	36808	fixpoint_ON	4	n/a	n/a	n/a
74.126	2.4	37063	stim_ON	8	1	1	2
77.036	n/a	38518	fixpoint_ON	4	n/a	n/a	n/a
77.546	2.4	38773	stim_ON	8	0	0	3
80.456	n/a	40228	fixpoint_ON	4	n/a	n/a	n/a
80.966	2.4	40483	stim_ON	8	0	0.3	1
83.876	n/a	41938	fixpoint_ON	4	n/a	n/a	n/a
84.386	2.4	42193	stim_ON	8	0	0.6	2
87.296	n/a	43648	fixpoint_ON	4	n/a	n/a	n/a
87.806	2.4	43903	stim_ON	8	0	1	3
90.716	n/a	45358	fixpoint_ON	4	n/a	n/a	n/a
91.226	2.4	45613	stim_ON	8	1	1	1
94.136	n/a	47068	fixpoint_ON	4	n/a	n/a	n/a
94.646	2.4	47323	stim_ON	8	1	0.6	3
97.556	n/a	48778	fixpoint_ON	4	n/a	n/a	n/a
98.066	2.4	49033	stim_ON	8	1	0.3	2
100.976	n/a	50488	fixpoint_ON	4	n/a	n/a	n/a
101.486	2.4	50743	stim_ON	8	1	0	1
104.396	n/a	52198	fixpoint_ON	4	n/a	n/a	n/a
104.906	2.4	52453	stim_ON	8	1	1	1
107.814	n/a	53907	fixpoint_ON	4	n/a	n/a	n/a
108.324	2.4	54162	stim_ON	8	1	0.6	2
111.234	n/a	55617	fixpoint_ON	4	n/a	n/a	n/a
111.744	2.4	55872	stim_ON	8	1	0.3	3
114.656	n/a	57328	fixpoint_ON	4	n/a	n/a	n/a
115.164	2.4	57582	stim_ON	8	1	0	1
118.074	n/a	59037	fixpoint_ON	4	n/a	n/a	n/a
118.584	2.4	59292	stim_ON	8	0	0	2
121.494	n/a	60747	fixpoint_ON	4	n/a	n/a	n/a
122.004	2.4	61002	stim_ON	8	1	0	3
124.914	n/a	62457	fixpoint_ON	4	n/a	n/a	n/a
125.424	2.4	62712	stim_ON	8	0	0.3	1
