onset	duration	sample	value	event_code	feedback
0	n/a	0	break cnt	break cnt	n/a
63.496	n/a	31748	contrastChangeB2_start	95	n/a
69.25	n/a	34625	contrastTrial_start	5	n/a
72.05	n/a	36025	left_target	8	n/a
73.798	n/a	36899	left_buttonPress	12	smiley_face
74.45	n/a	37225	contrastTrial_start	5	n/a
77.248	n/a	38624	left_target	8	n/a
79.278	n/a	39639	left_buttonPress	12	smiley_face
79.648	n/a	39824	contrastTrial_start	5	n/a
84.048	n/a	42024	left_target	8	n/a
85.728	n/a	42864	left_buttonPress	12	smiley_face
86.448	n/a	43224	contrastTrial_start	5	n/a
89.248	n/a	44624	right_target	9	n/a
91.268	n/a	45634	left_buttonPress	12	sad_face
91.608	n/a	45804	right_buttonPress	13	non_target
91.648	n/a	45824	contrastTrial_start	5	n/a
97.648	n/a	48824	left_target	8	n/a
99.028	n/a	49514	left_buttonPress	12	smiley_face
100.048	n/a	50024	contrastTrial_start	5	n/a
106.048	n/a	53024	right_target	9	n/a
107.818	n/a	53909	right_buttonPress	13	smiley_face
108.448	n/a	54224	contrastTrial_start	5	n/a
114.448	n/a	57224	right_target	9	n/a
116.018	n/a	58009	right_buttonPress	13	smiley_face
116.848	n/a	58424	contrastTrial_start	5	n/a
121.248	n/a	60624	right_target	9	n/a
123.188	n/a	61594	right_buttonPress	13	smiley_face
123.648	n/a	61824	contrastTrial_start	5	n/a
129.648	n/a	64824	left_target	8	n/a
131.138	n/a	65569	left_buttonPress	12	smiley_face
132.048	n/a	66024	contrastTrial_start	5	n/a
136.448	n/a	68224	left_target	8	n/a
137.988	n/a	68994	left_buttonPress	12	smiley_face
138.848	n/a	69424	contrastTrial_start	5	n/a
143.248	n/a	71624	left_target	8	n/a
144.838	n/a	72419	left_buttonPress	12	smiley_face
145.648	n/a	72824	contrastTrial_start	5	n/a
148.448	n/a	74224	left_target	8	n/a
150.328	n/a	75164	left_buttonPress	12	smiley_face
150.848	n/a	75424	contrastTrial_start	5	n/a
155.248	n/a	77624	right_target	9	n/a
157.648	n/a	78824	contrastTrial_start	5	n/a
163.648	n/a	81824	left_target	8	n/a
165.348	n/a	82674	left_buttonPress	12	smiley_face
166.048	n/a	83024	contrastTrial_start	5	n/a
170.448	n/a	85224	left_target	8	n/a
171.858	n/a	85929	left_buttonPress	12	smiley_face
172.848	n/a	86424	contrastTrial_start	5	n/a
175.646	n/a	87823	left_target	8	n/a
178.048	n/a	89024	contrastTrial_start	5	n/a
180.846	n/a	90423	right_target	9	n/a
182.876	n/a	91438	right_buttonPress	13	smiley_face
183.246	n/a	91623	contrastTrial_start	5	n/a
186.046	n/a	93023	right_target	9	n/a
188.056	n/a	94028	right_buttonPress	13	smiley_face
188.446	n/a	94223	contrastTrial_start	5	n/a
