onset	duration	sample	value	event_code	background	foreground_contrast	stimulus_cond
0	n/a	0	break cnt	break cnt	n/a	n/a	n/a
42.666	n/a	21333	surroundSuppB2_start	97	n/a	n/a	n/a
44.346	n/a	22173	fixpoint_ON	4	n/a	n/a	n/a
44.96	2.4	22480	stim_ON	8	1	1	3
50.294	n/a	25147	fixpoint_ON	4	n/a	n/a	n/a
50.804	2.4	25402	stim_ON	8	1	0.6	1
56.114	n/a	28057	fixpoint_ON	4	n/a	n/a	n/a
56.624	2.4	28312	stim_ON	8	1	0.3	2
61.934	n/a	30967	fixpoint_ON	4	n/a	n/a	n/a
62.444	2.4	31222	stim_ON	8	1	0	3
67.752	n/a	33876	fixpoint_ON	4	n/a	n/a	n/a
68.264	2.4	34132	stim_ON	8	1	0	2
73.574	n/a	36787	fixpoint_ON	4	n/a	n/a	n/a
74.084	2.4	37042	stim_ON	8	1	0.3	1
79.392	n/a	39696	fixpoint_ON	4	n/a	n/a	n/a
79.904	2.4	39952	stim_ON	8	1	0.6	3
85.212	n/a	42606	fixpoint_ON	4	n/a	n/a	n/a
85.724	2.4	42862	stim_ON	8	1	1	2
91.032	n/a	45516	fixpoint_ON	4	n/a	n/a	n/a
91.544	2.4	45772	stim_ON	8	1	1	3
96.852	n/a	48426	fixpoint_ON	4	n/a	n/a	n/a
97.364	2.4	48682	stim_ON	8	1	0.6	1
102.672	n/a	51336	fixpoint_ON	4	n/a	n/a	n/a
103.184	2.4	51592	stim_ON	8	1	0.3	2
108.492	n/a	54246	fixpoint_ON	4	n/a	n/a	n/a
109.004	2.4	54502	stim_ON	8	1	0	3
114.312	n/a	57156	fixpoint_ON	4	n/a	n/a	n/a
114.824	2.4	57412	stim_ON	8	0	1	1
120.134	n/a	60067	fixpoint_ON	4	n/a	n/a	n/a
120.644	2.4	60322	stim_ON	8	0	0.6	2
125.954	n/a	62977	fixpoint_ON	4	n/a	n/a	n/a
126.464	2.4	63232	stim_ON	8	0	0.3	3
131.774	n/a	65887	fixpoint_ON	4	n/a	n/a	n/a
132.284	2.4	66142	stim_ON	8	0	0	1
137.594	n/a	68797	fixpoint_ON	4	n/a	n/a	n/a
138.104	2.4	69052	stim_ON	8	1	1	3
143.414	n/a	71707	fixpoint_ON	4	n/a	n/a	n/a
143.924	2.4	71962	stim_ON	8	1	0.6	2
149.234	n/a	74617	fixpoint_ON	4	n/a	n/a	n/a
149.744	2.4	74872	stim_ON	8	1	0.3	1
155.054	n/a	77527	fixpoint_ON	4	n/a	n/a	n/a
155.564	2.4	77782	stim_ON	8	1	0	3
160.874	n/a	80437	fixpoint_ON	4	n/a	n/a	n/a
161.384	2.4	80692	stim_ON	8	1	0	3
166.694	n/a	83347	fixpoint_ON	4	n/a	n/a	n/a
167.204	2.4	83602	stim_ON	8	1	0.3	1
172.514	n/a	86257	fixpoint_ON	4	n/a	n/a	n/a
173.024	2.4	86512	stim_ON	8	1	0.6	2
178.334	n/a	89167	fixpoint_ON	4	n/a	n/a	n/a
178.844	2.4	89422	stim_ON	8	1	1	3
184.154	n/a	92077	fixpoint_ON	4	n/a	n/a	n/a
184.666	2.4	92333	stim_ON	8	1	0	1
189.974	n/a	94987	fixpoint_ON	4	n/a	n/a	n/a
190.484	2.4	95242	stim_ON	8	0	0	2
195.794	n/a	97897	fixpoint_ON	4	n/a	n/a	n/a
196.304	2.4	98152	stim_ON	8	1	0.3	3
201.614	n/a	100807	fixpoint_ON	4	n/a	n/a	n/a
202.124	2.4	101062	stim_ON	8	0	0.3	1
207.434	n/a	103717	fixpoint_ON	4	n/a	n/a	n/a
207.944	2.4	103972	stim_ON	8	1	0.6	2
213.254	n/a	106627	fixpoint_ON	4	n/a	n/a	n/a
213.764	2.4	106882	stim_ON	8	0	0.6	3
219.074	n/a	109537	fixpoint_ON	4	n/a	n/a	n/a
219.586	2.4	109793	stim_ON	8	1	1	1
224.894	n/a	112447	fixpoint_ON	4	n/a	n/a	n/a
