onset	duration	sample	value	event_code	feedback
0	n/a	0	break cnt	break cnt	n/a
43.634	n/a	21817	contrastChangeB2_start	95	n/a
49.388	n/a	24694	contrastTrial_start	5	n/a
52.186	n/a	26093	left_target	8	n/a
54.586	n/a	27293	contrastTrial_start	5	n/a
55.016	n/a	27508	right_buttonPress	13	non_target
55.686	n/a	27843	right_buttonPress	13	non_target
56.776	n/a	28388	right_buttonPress	13	non_target
57.306	n/a	28653	right_buttonPress	13	non_target
57.386	n/a	28693	left_target	8	n/a
58.436	n/a	29218	right_buttonPress	13	sad_face
59.646	n/a	29823	left_buttonPress	12	non_target
59.786	n/a	29893	contrastTrial_start	5	n/a
64.186	n/a	32093	left_target	8	n/a
66.346	n/a	33173	left_buttonPress	12	smiley_face
66.586	n/a	33293	contrastTrial_start	5	n/a
69.386	n/a	34693	right_target	9	n/a
71.346	n/a	35673	right_buttonPress	13	smiley_face
71.786	n/a	35893	contrastTrial_start	5	n/a
77.786	n/a	38893	left_target	8	n/a
79.716	n/a	39858	left_buttonPress	12	smiley_face
80.186	n/a	40093	contrastTrial_start	5	n/a
86.186	n/a	43093	right_target	9	n/a
86.816	n/a	43408	right_buttonPress	13	smiley_face
87.656	n/a	43828	right_buttonPress	13	non_target
88.326	n/a	44163	right_buttonPress	13	non_target
88.586	n/a	44293	contrastTrial_start	5	n/a
94.586	n/a	47293	right_target	9	n/a
96.346	n/a	48173	right_buttonPress	13	smiley_face
96.796	n/a	48398	right_buttonPress	13	non_target
96.986	n/a	48493	contrastTrial_start	5	n/a
97.046	n/a	48523	right_buttonPress	13	non_target
101.386	n/a	50693	right_target	9	n/a
102.636	n/a	51318	right_buttonPress	13	smiley_face
102.856	n/a	51428	right_buttonPress	13	non_target
103.056	n/a	51528	right_buttonPress	13	non_target
103.246	n/a	51623	right_buttonPress	13	non_target
103.426	n/a	51713	right_buttonPress	13	non_target
103.606	n/a	51803	right_buttonPress	13	non_target
103.786	n/a	51893	contrastTrial_start	5	n/a
109.786	n/a	54893	left_target	8	n/a
110.936	n/a	55468	left_buttonPress	12	smiley_face
111.186	n/a	55593	left_buttonPress	12	non_target
111.386	n/a	55693	left_buttonPress	12	non_target
111.566	n/a	55783	left_buttonPress	12	non_target
111.746	n/a	55873	left_buttonPress	12	non_target
111.976	n/a	55988	left_buttonPress	12	non_target
112.176	n/a	56088	left_buttonPress	12	non_target
112.186	n/a	56093	contrastTrial_start	5	n/a
116.586	n/a	58293	left_target	8	n/a
118.606	n/a	59303	left_buttonPress	12	smiley_face
118.986	n/a	59493	contrastTrial_start	5	n/a
123.384	n/a	61692	left_target	8	n/a
125.786	n/a	62893	contrastTrial_start	5	n/a
125.904	n/a	62952	left_buttonPress	12	non_target
128.584	n/a	64292	left_target	8	n/a
130.594	n/a	65297	left_buttonPress	12	smiley_face
130.986	n/a	65493	contrastTrial_start	5	n/a
135.384	n/a	67692	right_target	9	n/a
137.234	n/a	68617	left_buttonPress	12	sad_face
137.724	n/a	68862	right_buttonPress	13	non_target
137.784	n/a	68892	contrastTrial_start	5	n/a
143.784	n/a	71892	left_target	8	n/a
144.984	n/a	72492	left_buttonPress	12	smiley_face
145.694	n/a	72847	left_buttonPress	12	non_target
146.184	n/a	73092	contrastTrial_start	5	n/a
150.584	n/a	75292	left_target	8	n/a
152.974	n/a	76487	left_buttonPress	12	smiley_face
152.984	n/a	76492	contrastTrial_start	5	n/a
155.784	n/a	77892	left_target	8	n/a
157.934	n/a	78967	left_buttonPress	12	smiley_face
158.184	n/a	79092	contrastTrial_start	5	n/a
160.984	n/a	80492	right_target	9	n/a
163.334	n/a	81667	left_buttonPress	12	sad_face
163.384	n/a	81692	contrastTrial_start	5	n/a
166.184	n/a	83092	right_target	9	n/a
168.584	n/a	84292	contrastTrial_start	5	n/a
168.714	n/a	84357	right_buttonPress	13	non_target
172.984	n/a	86492	right_target	9	n/a
175.384	n/a	87692	contrastTrial_start	5	n/a
178.184	n/a	89092	right_target	9	n/a
180.154	n/a	90077	right_buttonPress	13	smiley_face
180.584	n/a	90292	contrastTrial_start	5	n/a
184.984	n/a	92492	right_target	9	n/a
186.754	n/a	93377	right_buttonPress	13	smiley_face
187.384	n/a	93692	contrastTrial_start	5	n/a
193.384	n/a	96692	left_target	8	n/a
195.474	n/a	97737	left_buttonPress	12	smiley_face
195.784	n/a	97892	contrastTrial_start	5	n/a
199.134	n/a	99567	right_buttonPress	13	non_target
199.924	n/a	99962	left_buttonPress	12	non_target
201.784	n/a	100892	right_target	9	n/a
