onset	duration	sample	value	event_code
0	n/a	0	break cnt	break cnt
1.97	n/a	985	resting_start	90
41.536	n/a	20768	instructed_toOpenEyes	20
61.538	n/a	30769	instructed_toCloseEyes	30
101.536	n/a	50768	instructed_toOpenEyes	20
121.536	n/a	60768	instructed_toCloseEyes	30
161.528	n/a	80764	instructed_toOpenEyes	20
181.528	n/a	90764	instructed_toCloseEyes	30
221.528	n/a	110764	instructed_toOpenEyes	20
241.53	n/a	120765	instructed_toCloseEyes	30
281.53	n/a	140765	instructed_toOpenEyes	20
301.53	n/a	150765	instructed_toCloseEyes	30
341.532	n/a	170766	instructed_toOpenEyes	20
346.069	n/a	173034.5	boundary	boundary
