onset	duration	sample	value	event_code	feedback
0	n/a	0	break cnt	break cnt	n/a
11.91	n/a	5955	contrastChangeB1_start	94	n/a
17.876	n/a	8938	contrastTrial_start	5	n/a
20.672	n/a	10336	right_target	9	n/a
23.072	n/a	11536	contrastTrial_start	5	n/a
23.262	n/a	11631	right_buttonPress	13	non_target
25.872	n/a	12936	right_target	9	n/a
27.782	n/a	13891	right_buttonPress	13	smiley_face
28.272	n/a	14136	contrastTrial_start	5	n/a
32.672	n/a	16336	right_target	9	n/a
34.542	n/a	17271	right_buttonPress	13	smiley_face
35.072	n/a	17536	contrastTrial_start	5	n/a
41.072	n/a	20536	right_target	9	n/a
42.532	n/a	21266	left_buttonPress	12	sad_face
43.472	n/a	21736	contrastTrial_start	5	n/a
46.272	n/a	23136	left_target	8	n/a
47.972	n/a	23986	right_buttonPress	13	sad_face
48.672	n/a	24336	contrastTrial_start	5	n/a
51.472	n/a	25736	right_target	9	n/a
53.762	n/a	26881	left_buttonPress	12	sad_face
53.872	n/a	26936	contrastTrial_start	5	n/a
58.272	n/a	29136	right_target	9	n/a
60.382	n/a	30191	left_buttonPress	12	sad_face
60.672	n/a	30336	contrastTrial_start	5	n/a
65.072	n/a	32536	left_target	8	n/a
66.372	n/a	33186	left_buttonPress	12	smiley_face
67.472	n/a	33736	contrastTrial_start	5	n/a
71.872	n/a	35936	left_target	8	n/a
73.802	n/a	36901	left_buttonPress	12	smiley_face
74.272	n/a	37136	contrastTrial_start	5	n/a
78.672	n/a	39336	right_target	9	n/a
80.732	n/a	40366	right_buttonPress	13	smiley_face
81.072	n/a	40536	contrastTrial_start	5	n/a
87.072	n/a	43536	left_target	8	n/a
89.172	n/a	44586	left_buttonPress	12	smiley_face
89.472	n/a	44736	contrastTrial_start	5	n/a
92.27	n/a	46135	left_target	8	n/a
94.18	n/a	47090	left_buttonPress	12	smiley_face
94.672	n/a	47336	contrastTrial_start	5	n/a
100.67	n/a	50335	left_target	8	n/a
102.91	n/a	51455	left_buttonPress	12	smiley_face
103.07	n/a	51535	contrastTrial_start	5	n/a
107.47	n/a	53735	left_target	8	n/a
109.09	n/a	54545	left_buttonPress	12	smiley_face
109.87	n/a	54935	contrastTrial_start	5	n/a
112.67	n/a	56335	left_target	8	n/a
114.18	n/a	57090	left_buttonPress	12	smiley_face
115.07	n/a	57535	contrastTrial_start	5	n/a
121.07	n/a	60535	left_target	8	n/a
122.67	n/a	61335	left_buttonPress	12	smiley_face
123.47	n/a	61735	contrastTrial_start	5	n/a
127.87	n/a	63935	right_target	9	n/a
129.82	n/a	64910	right_buttonPress	13	smiley_face
130.27	n/a	65135	contrastTrial_start	5	n/a
136.27	n/a	68135	right_target	9	n/a
138.02	n/a	69010	left_buttonPress	12	sad_face
138.67	n/a	69335	contrastTrial_start	5	n/a
144.67	n/a	72335	right_target	9	n/a
146.75	n/a	73375	right_buttonPress	13	smiley_face
147.07	n/a	73535	contrastTrial_start	5	n/a
149.87	n/a	74935	left_target	8	n/a
151.6	n/a	75800	left_buttonPress	12	smiley_face
152.27	n/a	76135	contrastTrial_start	5	n/a
158.27	n/a	79135	left_target	8	n/a
159.79	n/a	79895	left_buttonPress	12	smiley_face
160.67	n/a	80335	contrastTrial_start	5	n/a
165.07	n/a	82535	left_target	8	n/a
166.56	n/a	83280	left_buttonPress	12	smiley_face
167.47	n/a	83735	contrastTrial_start	5	n/a
170.27	n/a	85135	right_target	9	n/a
172.35	n/a	86175	right_buttonPress	13	smiley_face
172.67	n/a	86335	contrastTrial_start	5	n/a
178.67	n/a	89335	right_target	9	n/a
181.07	n/a	90535	contrastTrial_start	5	n/a
187.432	n/a	93716	break cnt	break cnt	n/a
188.48	n/a	94240	9999	9999	n/a
